event,crash_top,crash_bottom,index_peak_date,index_peak,regime_at_peak,lead_days,index_at_crash_top,index_at_bottom,spx_drawdown_pct
gfc,2007-10-09,2009-03-09,2006-07-25,87.2,red,441,71.5,53.3,-56.8
post_covid,2022-01-03,2022-10-12,2021-02-10,70.7,orange,327,65.0,45.1,-25.4
